Hora;Temperatura
16;36.13
16.03628118;36.13
16.05442177;36.13
16.07256236;36.13
16.09070295;36.13
16.10884354;36.13
16.12698413;36.13
16.14512472;36.13
16.16326531;36.19
16.1814059;36.13
16.19954649;36.13
16.21768707;36.13
16.23582766;36.13
16.25396825;36.13
16.27210884;36.13
16.29024943;36.13
16.30839002;36.13
16.32653061;36.19
16.3446712;36.25
16.36281179;36.31
16.38095238;36.31
16.39909297;36.31
16.41723356;36.31
16.43537415;36.31
16.45351474;36.31
16.47165533;36.31
16.48979592;36.25
16.50793651;36.25
16.5260771;36.25
16.54421769;36.25
16.56235828;36.31
16.58049887;36.25
16.59863946;36.25
16.61678005;36.25
16.63492063;36.25
16.65306122;36.25
16.67120181;36.19
16.6893424;36.25
16.70748299;36.25
16.72562358;36.25
16.74376417;36.25
16.76190476;36.25
16.78004535;36.25
16.79818594;36.25
16.81632653;36.25
16.83446712;36.25
16.85260771;36.25
16.8707483;36.25
16.88888889;36.25
16.90702948;36.25
16.92517007;36.25
16.94331066;36.25
16.96145125;36.19
16.97959184;36.19
16.99773243;36.19
17.01587302;36.25
17.03401361;36.19
17.0521542;36.19
17.07029478;36.19
17.08843537;36.19
17.10657596;36.19
17.12471655;36.13
17.14285714;36.13
17.16099773;36.13
17.17913832;36.13
17.19727891;36.13
17.2154195;36.13
17.23356009;36.13
17.25170068;36.06
17.26984127;36.06
17.28798186;36.06
17.30612245;36.06
17.32426304;36.06
17.34240363;36
17.36054422;36
17.37868481;36
17.3968254;36
17.41496599;36
17.43310658;36
17.45124717;36
17.46938776;36
17.48752834;36
17.50566893;36
17.52380952;36
17.54195011;35.94
17.5600907;35.94
17.57823129;36
17.59637188;35.94
17.61451247;36
17.63265306;35.94
17.65079365;35.94
17.66893424;35.94
17.68707483;35.94
17.70521542;35.94
17.72335601;35.94
17.7414966;35.88
17.75963719;35.94
17.77777778;35.94
17.79591837;35.94
17.81405896;35.94
17.83219955;35.94
17.85034014;35.94
17.86848073;35.94
17.88662132;35.94
17.9047619;35.94
17.92290249;35.94
17.94104308;35.88
17.95918367;35.88
17.97732426;35.88
17.99546485;35.88
18.01360544;35.88
18.03174603;35.81
18.04988662;35.81
18.06802721;35.81
18.0861678;35.81
18.10430839;35.81
18.12244898;35.75
18.14058957;35.75
18.15873016;35.75
18.17687075;35.75
18.19501134;35.75
18.21315193;35.75
18.23129252;35.69
18.24943311;35.75
18.2675737;35.75
18.28571429;35.75
18.30385488;35.69
18.32199546;35.75
18.34013605;35.75
18.35827664;35.69
18.37641723;35.75
18.39455782;35.75
18.41269841;35.69
18.430839;35.75
18.44897959;35.75
18.46712018;35.75
18.48526077;35.75
18.50340136;35.75
18.52154195;35.75
18.53968254;35.75
18.55782313;35.69
18.57596372;35.69
18.59410431;35.69
18.6122449;35.69
18.63038549;35.69
18.64852608;35.19
18.66666667;35.19
18.68480726;35.13
18.70294785;35.06
18.72108844;35.06
18.73922902;35
18.75736961;34.94
18.7755102;35
18.79365079;34.94
18.81179138;34.94
18.82993197;34.88
18.84807256;34.88
18.86621315;34.88
18.88435374;34.81
18.90249433;34.81
18.92063492;34.75
18.93877551;34.75
18.9569161;34.75
18.97505669;34.75
18.99319728;34.75
19.01133787;34.75
19.02947846;34.69
19.04761905;34.69
19.06575964;34.69
19.08390023;34.69
19.10204082;34.63
19.12018141;34.63
19.138322;34.63
19.15646259;34.63
19.17460317;34.75
19.19274376;34.81
19.21088435;34.81
19.22902494;34.88
19.24716553;34.88
19.26530612;34.88
19.28344671;34.88
19.3015873;34.94
19.31972789;34.94
19.33786848;34.94
19.35600907;34.94
19.37414966;34.94
19.39229025;34.88
19.41043084;34.88
19.42857143;34.88
19.44671202;34.88
19.46485261;34.88
19.4829932;34.88
19.50113379;34.88
19.51927438;34.88
19.53741497;34.88
19.55555556;34.81
19.57369615;34.81
19.59183673;34.81
19.60997732;34.81
19.62811791;34.81
19.6462585;34.81
19.66439909;34.81
19.68253968;34.81
19.70068027;34.81
19.71882086;34.75
19.73696145;34.75
19.75510204;34.75
19.77324263;34.69
19.79138322;34.63
19.80952381;34.63
19.8276644;34.63
19.84580499;34.63
19.86394558;34.63
19.88208617;34.63
19.90022676;34.63
19.91836735;34.69
19.93650794;34.63
19.95464853;34.63
19.97278912;34.56
19.99092971;34.56
20.00907029;34.56
20.02721088;34.56
20.04535147;34.56
20.06349206;34.56
20.08163265;34.56
20.09977324;34.56
20.11791383;34.63
20.13605442;34.56
20.15419501;34.56
20.1723356;34.56
20.19047619;34.5
20.20861678;34.5
20.22675737;34.5
20.24489796;34.44
20.26303855;34.44
20.28117914;34.44
20.29931973;34.38
20.31746032;34.38
20.33560091;34.38
20.3537415;34.38
20.37188209;34.31
20.39002268;34.31
20.40816327;34.31
20.42630385;34.31
20.44444444;34.31
20.46258503;34.25
20.48072562;34.25
20.49886621;34.25
20.5170068;34.25
20.53514739;34.25
20.55328798;34.19
20.57142857;34.19
20.58956916;34.19
20.60770975;34.13
20.62585034;34.06
20.64399093;34.06
20.66213152;34.06
20.68027211;34.13
20.6984127;34.13
20.71655329;34.13
20.73469388;34.19
20.75283447;34.19
20.77097506;34.19
20.78911565;34.19
20.80725624;34.19
20.82539683;34.25
20.84353741;34.19
20.861678;34.19
20.87981859;34.19
20.89795918;34.13
20.91609977;34.06
20.93424036;34
20.95238095;34
20.97052154;34
20.98866213;34
21.00680272;33.94
21.02494331;34
21.0430839;34
21.06122449;34
21.07936508;34.06
21.09750567;34.06
21.11564626;34.06
21.13378685;34.06
21.15192744;34
21.17006803;34
21.18820862;34
21.20634921;34
21.2244898;34
21.24263039;34
21.26077098;33.94
21.27891156;33.94
21.29705215;33.94
21.31519274;33.88
21.33333333;33.94
21.35147392;33.81
21.36961451;33.81
21.3877551;33.81
21.40589569;33.81
21.42403628;33.81
21.44217687;33.75
21.46031746;33.75
21.47845805;33.75
21.49659864;33.75
21.51473923;33.75
21.53287982;33.75
21.55102041;33.69
21.569161;33.69
21.58730159;33.69
21.60544218;33.69
21.62358277;33.69
21.64172336;33.69
21.65986395;33.63
21.67800454;33.63
21.69614512;33.56
21.71428571;33.63
21.7324263;33.63
21.75056689;33.56
21.76870748;33.63
21.78684807;33.63
21.80498866;33.63
21.82312925;33.63
21.84126984;33.56
21.85941043;33.5
21.87755102;33.5
21.89569161;33.44
21.9138322;33.38
21.93197279;33.31
21.95011338;33.31
21.96825397;33.31
21.98639456;33.31
22.00453515;33.31
22.02267574;33.25
22.04081633;33.25
22.05895692;33.25
22.07709751;33.31
22.0952381;33.31
22.11337868;33.38
22.13151927;33.44
22.14965986;33.38
22.16780045;33.38
22.18594104;33.44
22.20408163;33.44
22.22222222;33.5
22.24036281;33.56
22.2585034;33.56
22.27664399;33.56
22.29478458;33.56
22.31292517;33.56
22.33106576;33.5
22.34920635;33.5
22.36734694;33.5
22.38548753;33.5
22.40362812;33.56
22.42176871;33.56
22.4399093;33.5
22.45804989;33.38
22.47619048;33.31
22.49433107;33.25
22.51247166;33.25
22.53061224;33.31
22.54875283;33.31
22.56689342;33.31
22.58503401;33.38
22.6031746;33.44
22.62131519;33.44
22.63945578;33.56
